[INFO 20230612 23:55:49] using dataSet diabetes.csv
[INFO 20230612 23:55:49] function main() start
[INFO 20230612 23:55:49] function originModelJob() start
[INFO 20230612 23:55:49] function origin_LogisticRegression__performanceMetrics() start
[INFO 20230612 23:55:49] function origin_LogisticRegression__performanceMetrics() end
[INFO 20230612 23:55:49] cost 0.018004655838012695 s
[INFO 20230612 23:55:49] function origin_SVC__performanceMetrics() start
[INFO 20230612 23:55:49] function origin_SVC__performanceMetrics() end
[INFO 20230612 23:55:49] cost 0.060967206954956055 s
[INFO 20230612 23:55:49] function origin_DecisionTreeClassifier__performanceMetrics() start
[INFO 20230612 23:55:49] function origin_DecisionTreeClassifier__performanceMetrics() end
[INFO 20230612 23:55:49] cost 0.01399993896484375 s
[INFO 20230612 23:55:49] function origin_RandomForestClassifier__performanceMetrics() start
[INFO 20230612 23:55:49] function origin_RandomForestClassifier__performanceMetrics() end
[INFO 20230612 23:55:49] cost 0.3402085304260254 s
[INFO 20230612 23:55:49] function origin_KNeighborsClassifier__performanceMetrics() start
[INFO 20230612 23:55:49] function origin_KNeighborsClassifier__performanceMetrics() end
[INFO 20230612 23:55:49] cost 0.0390019416809082 s
[INFO 20230612 23:55:49] function origin_LogisticRegression__performanceMetrics() start
[INFO 20230612 23:55:49] function origin_LogisticRegression__performanceMetrics() end
[INFO 20230612 23:55:49] cost 0.015014886856079102 s
[INFO 20230612 23:55:49] function origin_SVC__performanceMetrics() start
[INFO 20230612 23:55:49] function origin_SVC__performanceMetrics() end
[INFO 20230612 23:55:49] cost 0.05473899841308594 s
[INFO 20230612 23:55:49] function origin_DecisionTreeClassifier__performanceMetrics() start
[INFO 20230612 23:55:50] function origin_DecisionTreeClassifier__performanceMetrics() end
[INFO 20230612 23:55:50] cost 0.01399850845336914 s
[INFO 20230612 23:55:50] function origin_RandomForestClassifier__performanceMetrics() start
[INFO 20230612 23:55:50] function origin_RandomForestClassifier__performanceMetrics() end
[INFO 20230612 23:55:50] cost 0.3189990520477295 s
[INFO 20230612 23:55:50] function origin_KNeighborsClassifier__performanceMetrics() start
[INFO 20230612 23:55:50] function origin_KNeighborsClassifier__performanceMetrics() end
[INFO 20230612 23:55:50] cost 0.021988630294799805 s
[INFO 20230612 23:55:50] function originModelJob() end
[INFO 20230612 23:55:50] cost 0.9219553470611572 s
[INFO 20230612 23:55:50] function optimizedModelsJob() start
[INFO 20230612 23:55:50] function randomForestFeatureRank() start
[INFO 20230612 23:55:52] featureRank.png ok！
[INFO 20230612 23:55:52] function randomForestFeatureRank() end
[INFO 20230612 23:55:52] cost 2.020158052444458 s
[INFO 20230612 23:55:52] function LogisticRegression_gridSearch() start
[INFO 20230612 23:55:59] function LogisticRegression_gridSearch() end
[INFO 20230612 23:55:59] cost 6.629999399185181 s
[INFO 20230612 23:55:59] function SVC_gridSearch() start
[INFO 20230612 23:56:02] function SVC_gridSearch() end
[INFO 20230612 23:56:02] cost 3.6580018997192383 s
[INFO 20230612 23:56:02] function DecisionTreeClassifier_gridSearch() start
[INFO 20230612 23:56:05] function DecisionTreeClassifier_gridSearch() end
[INFO 20230612 23:56:05] cost 2.777996301651001 s
[INFO 20230612 23:56:05] function RandomForestClassifier_gridSearch() start
[INFO 20230613 00:01:26] function RandomForestClassifier_gridSearch() end
[INFO 20230613 00:01:26] cost 321.06829738616943 s
[INFO 20230613 00:01:26] function KNeighborsClassifier_gridSearch() start
[INFO 20230613 00:01:26] function KNeighborsClassifier_gridSearch() end
[INFO 20230613 00:01:26] cost 0.26999688148498535 s
[INFO 20230613 00:01:26] function optimized_LogisticRegression__performanceMetrics() start
[INFO 20230613 00:01:26] function optimized_LogisticRegression__performanceMetrics() end
[INFO 20230613 00:01:26] cost 0.012998580932617188 s
[INFO 20230613 00:01:26] function optimized_SVC__performanceMetrics() start
[INFO 20230613 00:01:26] function optimized_SVC__performanceMetrics() end
[INFO 20230613 00:01:26] cost 0.10200190544128418 s
[INFO 20230613 00:01:26] function optimized_DecisionTreeClassifier__performanceMetrics() start
[INFO 20230613 00:01:26] function optimized_DecisionTreeClassifier__performanceMetrics() end
[INFO 20230613 00:01:26] cost 0.008002758026123047 s
[INFO 20230613 00:01:26] function optimized_RandomForestClassifier__performanceMetrics() start
[INFO 20230613 00:01:27] function optimized_RandomForestClassifier__performanceMetrics() end
[INFO 20230613 00:01:27] cost 0.10899615287780762 s
[INFO 20230613 00:01:27] function optimized_KNeighborsClassifier__performanceMetrics() start
[INFO 20230613 00:01:27] function optimized_KNeighborsClassifier__performanceMetrics() end
[INFO 20230613 00:01:27] cost 0.04999589920043945 s
[INFO 20230613 00:01:27] function optimized_LogisticRegression__performanceMetrics() start
[INFO 20230613 00:01:27] function optimized_LogisticRegression__performanceMetrics() end
[INFO 20230613 00:01:27] cost 0.010007381439208984 s
[INFO 20230613 00:01:27] function optimized_SVC__performanceMetrics() start
[INFO 20230613 00:01:27] function optimized_SVC__performanceMetrics() end
[INFO 20230613 00:01:27] cost 0.07703065872192383 s
[INFO 20230613 00:01:27] function optimized_DecisionTreeClassifier__performanceMetrics() start
[INFO 20230613 00:01:27] function optimized_DecisionTreeClassifier__performanceMetrics() end
[INFO 20230613 00:01:27] cost 0.008997678756713867 s
[INFO 20230613 00:01:27] function optimized_RandomForestClassifier__performanceMetrics() start
[INFO 20230613 00:01:27] function optimized_RandomForestClassifier__performanceMetrics() end
[INFO 20230613 00:01:27] cost 0.10699629783630371 s
[INFO 20230613 00:01:27] function optimized_KNeighborsClassifier__performanceMetrics() start
[INFO 20230613 00:01:27] function optimized_KNeighborsClassifier__performanceMetrics() end
[INFO 20230613 00:01:27] cost 0.028001070022583008 s
